english_word,native_translation,definition_vi
fly,bay; con ruồi,Di chuyển trong không khí dùng cánh; hoặc là một loại côn trùng có cánh.
fall,ngã; rơi; mùa thu,"Di chuyển xuống đột ngột từ độ cao; xảy ra unexpectedly; hoặc chỉ mùa giữa hạ và đông."
lead,chì; dẫn dắt; lãnh đạo,"Một kim loại màu xám, mềm, nặng; hoặc hành động dẫn đường, chỉ huy một nhóm người hoặc tình huống."
cry,khóc; tiếng khóc,"Phát ra âm thanh và nước mắt khi buồn, đau đớn, hay xúc động mạnh; cũng có thể là tiếng kêu lớn."
dark,tối; bóng tối; sẫm màu,"Có ít hoặc không có ánh sáng; màu sắc gần màu đen hoặc nâu đậm; chỉ sự thiếu sáng hoặc bóng tối."
machine,máy móc; máy,"Một thiết bị sử dụng năng lượng để thực hiện một nhiệm vụ cụ thể, thường có các bộ phận chuyển động."
note,ghi chú; ghi chép; nốt nhạc; tờ tiền,"Một lời nhắc nhở ngắn gọn, một bản ghi thông tin, hoặc một nốt nhạc; cũng có thể là tờ tiền giấy."
wait,chờ; đợi,"Nán lại hoặc tạm dừng một hành động cho đến khi một sự kiện xảy ra hoặc một người đến."
plan,kế hoạch; lên kế hoạch,"Một bản phác thảo chi tiết về cách làm hoặc đạt được điều gì đó; cũng là hành động quyết định trước cách làm điều gì đó."
figure,hình; hình dáng; con số; nhân vật; hình dung; tính toán,"Hình ảnh, hình dạng, hoặc biểu tượng; một con số; một người nổi tiếng hoặc quan trọng; hành động nghĩ hoặc tính toán."
star,ngôi sao; ngôi sao giải trí,"Một vật thể lớn, nóng, sáng trong không gian; hoặc một người nổi tiếng, đặc biệt là trong ngành giải trí."
box,cái hộp; thùng; đóng hộp,"Vật chứa thường hình vuông hoặc hình chữ nhật, có mặt phẳng và thường có nắp đậy; cũng là hành động cho vào hoặc đóng kín trong hộp."
noun,danh từ,Một loại từ chỉ người, vật, địa điểm, ý tưởng hoặc sự vật cụ thể.
field,cánh đồng; sân; lĩnh vực,"Một khu vực đất rộng, bằng phẳng, thường dùng để trồng trọt hoặc chăn nuôi; cũng có thể là một khu vực cụ thể dùng cho thể thao hoặc một lĩnh vực chuyên môn (ví dụ: lĩnh vực khoa học)."
rest,nghỉ ngơi; phần còn lại,"Sự thư giãn, không làm việc; hoặc phần còn lại của một cái gì đó sau khi một phần đã được sử dụng."
correct,đúng; chính xác; sửa chữa,"Đúng theo sự thật, tiêu chuẩn hoặc mong đợi; không có lỗi. Cũng có nghĩa là làm cho một cái gì đó trở nên đúng hoặc không có lỗi."
able,có thể; có khả năng,"Có khả năng làm được điều gì đó; có đủ kỹ năng, sức mạnh, hoặc cơ hội."
pound,pound,"Đơn vị đo trọng lượng; cũng là tên đơn vị tiền tệ của Anh và một số quốc gia khác."
done,xong; hoàn thành; làm xong,"Trạng thái đã kết thúc, đã làm xong một việc gì đó."
beauty,vẻ đẹp; sắc đẹp; người đẹp,"Tính chất hoặc phẩm chất làm hài lòng thị giác hoặc các giác quan khác; cũng có thể chỉ một người hoặc vật có vẻ ngoài rất hấp dẫn."
drive,lái xe; sự lái xe; cuộc đi xe,"Điều khiển hoặc vận hành một phương tiện (như ô tô, xe máy); cũng có nghĩa là một chuyến đi trên phương tiện đó; hoặc động lực, sự thúc đẩy mạnh mẽ muốn làm điều gì."
stood,đã đứng; giữ vững lập trường,"Quá khứ của 'stand', có nghĩa là ở vị trí thẳng đứng trên chân hoặc ở yên một chỗ; cũng có nghĩa là giữ vững ý kiến hoặc vị trí."
contain,chứa; bao gồm,"Có thứ gì đó ở bên trong; bao gồm thứ gì đó là một phần của nó."
front,trước; đằng trước; mặt trước,"Phần phía trước của một cái gì đó hoặc một người; cũng là vị trí ở phía trước."
teach,dạy; giảng dạy,"Truyền đạt kiến thức, kỹ năng hoặc thông tin cho người khác."
week,tuần,Khoảng thời gian bảy ngày liên tiếp, thường bắt đầu từ Chủ Nhật hoặc Thứ Hai.
final,cuối cùng; chung cuộc,"Thuộc về hoặc xảy ra ở phần cuối của một chuỗi, quá trình hoặc sự kiện; không còn thay đổi được nữa."
gave,đã cho; đã tặng,"Dạng quá khứ đơn của động từ 'give', có nghĩa là đưa cho ai đó một thứ gì đó."
green,xanh lá cây,"Có màu sắc tương tự màu cỏ hoặc lá cây tươi."
oh,ôi; ồ; à,"Thán từ dùng để biểu lộ sự ngạc nhiên, vui sướng, đau đớn, hoặc gọi sự chú ý."
quick,nhanh; mau lẹ,"Diễn ra hoặc xảy ra trong một thời gian ngắn; có tốc độ nhanh."
develop,phát triển,"Làm cho cái gì đó trở nên tiến bộ, lớn hơn, mạnh hơn hoặc hoàn thiện hơn theo thời gian."
ocean,đại dương; biển lớn,"Một vùng nước mặn rất lớn bao phủ phần lớn bề mặt Trái đất."
warm,ấm; ấm áp; làm cho ấm lên,"Có nhiệt độ vừa phải, không nóng cũng không lạnh; cũng có nghĩa là làm cho vật gì đó trở nên ấm hơn."
free,miễn phí; tự do; rảnh rỗi,"Không phải trả tiền; không bị kiểm soát hoặc giam giữ; không bận rộn."
minute,phút; rất nhỏ,"Đơn vị đo thời gian bằng sáu mươi giây; cũng có nghĩa là cực kỳ nhỏ."
strong,mạnh; khỏe; vững chắc,"Có sức mạnh vật lý; có khả năng chống chịu; vững vàng về mặt tinh thần hoặc thể chất."
special,đặc biệt; đặc trưng,"Khác hoặc vượt trội hơn so với bình thường; dành cho mục đích cụ thể hoặc là duy nhất."
mind,tâm trí; suy nghĩ; để ý,"Bộ phận cơ thể dùng để suy nghĩ, cảm nhận, hiểu; cũng có nghĩa là quan tâm hoặc phiền lòng về điều gì đó."
behind,đằng sau; ở phía sau,"Chỉ vị trí hoặc hướng ở phía sau của một người, vật hoặc địa điểm nào đó."
clear,rõ ràng; trong suốt; dọn dẹp,"Dễ hiểu, dễ nhìn thấy hoặc không bị che khuất; cũng có nghĩa là làm cho sạch hoặc loại bỏ vật cản."
tail,đuôi; theo sau,"Phần kéo dài phía sau cơ thể động vật; cũng có nghĩa là theo sát ai đó."
produce,sản xuất; sản phẩm,"Tạo ra hoặc làm ra thứ gì đó; cũng có nghĩa là hoa quả và rau củ được trồng trọt."
fact,sự thật; thực tế; việc có thật,"Một điều được chứng minh là đúng hoặc tồn tại."
street,đường phố,"Một con đường công cộng ở một thị trấn hoặc thành phố, thường có các tòa nhà ở hai bên."
inch,inch; insơ,"Đơn vị đo chiều dài bằng 1/12 foot, hoặc khoảng 2,54 cm."
multiply,nhân; làm tăng lên,"Thực hiện phép tính nhân; làm cho một số lượng tăng lên nhiều lần."
nothing,không có gì,"Không có thứ gì."
course,khóa học; lộ trình; món ăn,"Một chuỗi các bài học hoặc buổi học về một chủ đề cụ thể; hướng hoặc đường đi; một phần của bữa ăn."
stay,ở lại; tạm trú,"Ở yên một chỗ; tiếp tục ở lại đó thay vì rời đi; sống tạm ở một nơi nào đó."
wheel,bánh xe; vô lăng,"Vật hình tròn quay quanh một trục, được dùng làm một bộ phận của xe cộ hoặc máy móc; cũng là tay lái (vô lăng)."
full,đầy; đủ; tràn đầy,"Chứa đựng nhiều nhất có thể, không còn chỗ trống hoặc thiếu hụt; tròn vẹn, hoàn chỉnh."
force,lực; cưỡng bức; bắt buộc,"Áp lực đẩy hoặc kéo một vật thể; cũng có nghĩa là dùng sức mạnh để bắt ai đó làm gì đó hoặc đạt được điều gì đó."
blue,màu xanh dương; buồn bã,"Màu sắc giống bầu trời quang đãng hoặc nước biển sâu; cũng là trạng thái cảm xúc buồn bã, chán nản."
object,đối tượng; vật; phản đối,"Một vật thể vật lý; một thứ có thể nhìn hoặc chạm vào; cũng có nghĩa là bày tỏ sự không đồng ý hoặc chống lại điều gì đó."
decide,quyết định; lựa chọn,"Chọn giữa các khả năng khác nhau; đưa ra một quyết định sau khi suy nghĩ."
surface,bề mặt; mặt,"Lớp bên ngoài hoặc phần trên cùng của vật thể."
deep,sâu; sâu sắc,"Có khoảng cách lớn từ bề mặt xuống đáy; cũng chỉ sự mạnh mẽ về cảm xúc, ý nghĩa hoặc kiến thức."
moon,mặt trăng,"Thiên thể lớn quay xung quanh Trái đất, chiếu sáng vào ban đêm; vệ tinh tự nhiên duy nhất của Trái đất."
island,hòn đảo; đảo,"Một mảnh đất được nước bao quanh."
foot,chân,"Bộ phận cuối cùng của chân dùng để đứng, đi hoặc chạy ở người và động vật."
system,hệ thống; thể chế,"Một bộ các bộ phận làm việc cùng nhau như một tổng thể; một tập hợp các nguyên tắc hoặc thủ tục cho cách làm gì đó."
busy,bận; bận rộn,"Không có thời gian rảnh rỗi vì có việc phải làm; đang hoạt động."
test,kiểm tra; bài kiểm tra; thử nghiệm,"Hành động thử cái gì đó để xem nó hoạt động như thế nào hoặc nó là gì; hoặc một bài thi để đánh giá kiến thức hoặc kỹ năng."
record,ghi; hồ sơ; kỷ lục,"Lưu lại thông tin; tập hợp dữ liệu hoặc tài liệu về một điều gì đó; kết quả tốt nhất đạt được trong một hoạt động nhất định."
boat,thuyền; tàu,"Phương tiện di chuyển trên mặt nước, thường nhỏ hơn tàu thủy."
common,chung; thông thường; phổ biến,"Xảy ra, có mặt hoặc được tìm thấy thường xuyên; không đặc biệt, không hiếm."
gold,vàng; vàng bạc,"Một kim loại quý, mềm, màu vàng, rất có giá trị và được dùng làm đồ trang sức, tiền tệ, hoặc vật trang trí."
possible,có thể; khả thi,"Có thể xảy ra, tồn tại hoặc được thực hiện."
plane,máy bay; mặt phẳng,"Một phương tiện di chuyển có cánh bay trên không; hoặc một bề mặt phẳng trải rộng."
stead,thay; chỗ; vị trí,"Vị trí của một người hoặc vật nhất định, hoặc được sử dụng khi ai đó hoặc thứ gì đó thế chỗ cho người hoặc vật khác."
dry,khô; làm khô,"Ở trạng thái không có hoặc có rất ít nước, chất lỏng, ẩm ướt."
wonder,tự hỏi; ngạc nhiên; điều kỳ diệu,"Cảm giác muốn biết điều gì đó hoặc không hiểu; điều gì đó gây kinh ngạc hoặc khâm phục."
laugh,cười,Phát ra âm thanh báo hiệu niềm vui hoặc cảm thấy buồn cười.
thousand,ngàn; nghìn,"Số lượng bằng 1000."
ago,trước; cách đây,"Chỉ một khoảng thời gian trong quá khứ, tính từ thời điểm hiện tại."
ran,đã chạy; chạy,"Quá khứ đơn của 'run', có nghĩa là di chuyển nhanh bằng chân hoặc hoạt động/vận hành."
check,kiểm tra; đánh dấu chọn; kiểm nghiệm,"Hành động kiểm tra hoặc xem xét kỹ lưỡng một cái gì đó để đảm bảo đúng, an toàn hoặc thỏa đáng; cũng là dấu hiệu (✓) đặt cạnh một mục trong danh sách hoặc trên biểu mẫu."
game,trò chơi; trận đấu,"Hoạt động giải trí có luật lệ, thường mang tính cạnh tranh hoặc chỉ để vui."
shape,hình dạng; hình thù; định hình,"Dạng bên ngoài hoặc đường viền của một vật thể; cũng có nghĩa là tạo ra hoặc ảnh hưởng đến dạng của một cái gì đó."
equate,coi như; xem như; đánh đồng,"Coi cái gì đó tương đương hoặc giống hệt với cái gì đó khác; đánh giá hai thứ có giá trị như nhau."
hot,nóng; cay,"Có nhiệt độ cao; có vị cay nồng (thức ăn)."
miss,nhớ; lỡ; cô,"Cảm thấy buồn vì ai đó không có mặt; không bắt kịp hoặc không tham gia vào một cái gì đó; một phụ nữ chưa lấy chồng (là một danh hiệu dùng trước tên)."
brought,đã கொண்டுきた; கொண்டுきて,"Đã mang một người hoặc vật đến một nơi nào đó; thì quá khứ và phân từ quá khứ của 'bring'."
heat,sức nóng; nhiệt; làm nóng,"Năng lượng hoặc tình trạng nóng; nhiệt độ cao; hành động làm cho vật gì đó trở nên nóng."
snow,tuyết; tuyết rơi,"Nước đóng băng rơi xuống từ bầu trời dưới dạng hạt băng nhỏ, mềm; hoặc hiện tượng tuyết rơi."
tire,lốp xe; làm mệt mỏi,"Vật hình tròn có khí bên trong, lắp vào bánh xe để giúp xe chạy; cũng có nghĩa là làm cho ai đó cảm thấy cần nghỉ ngơi."
bring,mang; đưa; đem,"Di chuyển hoặc dẫn ai/cái gì từ một nơi đến nơi người nói hoặc nơi khác."
yes,vâng; rồi; có,"Từ dùng để trả lời khẳng định, đồng ý hoặc chấp nhận."
distant,xa; xa xôi; lạnh lùng,"Ở cách xa về không gian hoặc thời gian; không thân thiện hoặc không gần gũi."
fill,lấp đầy; điền vào; làm đầy,"Làm cho cái gì đó đầy hoặc chiếm hết sức chứa; điền thông tin vào một biểu mẫu hoặc chỗ trống."
east,phía đông; hướng đông,"Một trong bốn hướng chính, nằm về phía mặt trời mọc."
paint,sơn; vẽ,"Chất lỏng màu dùng để phủ lên bề mặt; cũng có nghĩa là hành động dùng chất lỏng màu đó để tạo ra hình ảnh hoặc phủ lên vật gì đó."
language,ngôn ngữ; tiếng nói,"Hệ thống giao tiếp bằng lời nói hoặc chữ viết được sử dụng bởi một quốc gia hoặc một cộng đồng người cụ thể."
among,giữa; trong số,"Chỉ vị trí ở giữa một nhóm người hoặc vật, hoặc thuộc về một số trong nhóm đó."
grand,lớn; vĩ đại; hùng vĩ,"Lớn và ấn tượng về quy mô, phạm vi hoặc ý nghĩa; rất tốt hoặc thú vị."
ball,quả bóng; trái bóng,"Vật hình tròn dùng trong thể thao hoặc trò chơi."
yet,chưa; nhưng mà,"Chưa xảy ra; hoặc dùng để giới thiệu một ý đối lập hoặc bổ sung."
wave,sóng; vẫy tay,"Sự chuyển động của nước trên bề mặt biển hoặc sông; cũng là cử chỉ di chuyển tay để chào hỏi hoặc gây sự chú ý."
drop,rơi; đánh rơi; giọt,"Để cái gì đó rơi xuống; làm cho cái gì đó rơi xuống; một lượng chất lỏng hình dạng tròn nhỏ."
heart,tim; trái tim,"Bộ phận trong lồng ngực, bơm máu đi khắp cơ thể; cũng là biểu tượng của tình cảm và sự dũng cảm."
am,là; thì; ở,"Dạng chia của động từ 'to be' (là, thì, ở) dùng với chủ ngữ 'I'."
present,hiện tại; món quà; trình bày; có mặt,"(Thời gian) bây giờ, hiện tại. (Danh từ) Một thứ gì đó được cho đi, một món quà. (Động từ) Đưa cho ai đó cái gì đó; thể hiện hoặc giới thiệu cái gì đó. (Tính từ) Có mặt ở một nơi hoặc một sự kiện nào đó."
heavy,nặng; khó khăn; dữ dội,"Có trọng lượng lớn; khó nhọc hoặc gây khó khăn; mạnh mẽ, dữ dội (như mưa, giao thông)."
dance,nhảy; khiêu vũ; điệu nhảy,"Thực hiện một loạt các chuyển động nhịp nhàng theo nhạc, thường dùng để giải trí hoặc biểu diễn; cũng là danh từ chỉ hoạt động hoặc một sự kiện nhảy múa."
engine,động cơ,"Thiết bị tạo ra năng lượng, thường là bằng cách đốt nhiên liệu, để làm cho máy móc hoặc xe cộ di chuyển."
position,vị trí; chức vụ; thế đứng; tư thế,"Nơi hoặc điểm mà ai đó/cái gì đó đang ở; công việc/chức vụ trong một tổ chức; cách một người đứng hoặc ngồi; quan điểm hoặc thái độ về một vấn đề."
arm,cánh tay; vũ khí; trang bị vũ khí,"Bộ phận từ vai đến cổ tay của con người hoặc động vật; đồ vật dùng để gây chiến; cung cấp vũ khí."
wide,rộng; rộng lớn,"Có khoảng cách lớn giữa hai bên hoặc hai mặt; bao phủ một khu vực lớn."
sail,buồm; đi thuyền,"Một tấm vải lớn trên tàu hoặc thuyền dùng để đẩy bởi gió; cũng có nghĩa là đi lại bằng thuyền hoặc tàu dùng sức gió."
material,vật liệu; chất liệu; vật chất; vải,"Những thứ được sử dụng để làm hoặc tạo ra một cái gì đó; cũng có thể là vải hoặc chất liệu được sử dụng để may quần áo."
size,kích thước; cỡ,"Độ lớn của vật nào đó."
vary,thay đổi; biến đổi; khác nhau,"Khác biệt về kích thước, hình dạng, mức độ, v.v., hoặc khác nhau theo từng trường hợp."
settle,giải quyết; ổn định; định cư; dàn xếp,"Tìm ra giải pháp cho vấn đề hoặc tranh chấp; dừng di chuyển và sống ở một nơi cố định; làm cho bình tĩnh lại."
speak,nói; nói chuyện,"Phát ra âm thanh bằng lời nói; trò chuyện hoặc giao tiếp."
weight,cân nặng; trọng lượng; mức tạ,"Độ nặng của một vật hoặc người; một vật được dùng để cân hoặc nâng."
general,chung; tổng quát; nói chung,"Thuộc về hoặc ảnh hưởng đến tất cả hoặc hầu hết mọi người, vật hoặc trường hợp; không cụ thể."
ice,nước đá; băng,"Chất rắn đóng băng của nước, thường ở dạng khối hoặc hạt."
matter,vấn đề; chuyện; quan trọng; chất,"Một chủ đề, tình huống hoặc sự việc đang được thảo luận hoặc phải giải quyết; cũng có nghĩa là quan trọng; cũng là từ chỉ các thứ vật chất."
circle,hình tròn; vòng tròn,"Hình có mọi điểm cách đều một điểm trung tâm; một nhóm người hoặc vật tụ họp thành vòng."
pair,cặp; đôi,"Hai vật hoặc hai người giống nhau hoặc khác nhau được ghép lại với nhau hoặc được coi là một bộ."
include,bao gồm; kể cả,"Có một cái gì đó như một phần của tổng thể, hoặc thêm một cái gì đó vào một nhóm, danh sách, v.v."
divide,chia; phân chia; đường phân chia,"Tách hoặc chia cái gì đó thành nhiều phần; cũng là giới hạn giữa hai khu vực hoặc nhóm."
syllable,âm tiết,"Một đơn vị âm thanh của lời nói, có một nguyên âm hoặc âm nhân tạo và có thể có phụ âm đi trước hoặc theo sau."
felt,nung nỉ; cảm thấy; nỉ,"Động từ quá khứ và phân từ hai của 'feel'; cũng là một loại vải dày, mềm được làm từ len hoặc lông ép lại."
perhaps,có lẽ; có thể,"Dùng để chỉ một khả năng hoặc sự không chắc chắn về điều gì đó."
pick,chọn; hái,"Chọn hoặc lấy một thứ gì đó (thường bằng tay), ví dụ như hái hoa quả hoặc chọn một món đồ."
sudden,đột ngột; bất ngờ,"Xảy ra một cách nhanh chóng và không đoán trước được; không được mong đợi."
count,đếm; tính; số lượng,"Hành động xác định tổng số của vật gì đó; cũng có thể là tổng số hoặc phép tính."
square,hình vuông; quảng trường; bình phương,"Một hình có bốn cạnh bằng nhau và bốn góc vuông; một khu vực mở ở trung tâm thị trấn hoặc thành phố; kết quả của việc nhân một số với chính nó."
reason,lý do; nguyên nhân; lý lẽ,"Một lý do để làm điều gì đó; nguyên nhân của một sự việc; khả năng suy nghĩ và đưa ra đánh giá hợp lý."
length,chiều dài; độ dài,"Kích thước của một vật từ đầu này đến đầu kia; khoán độ dài."
represent,đại diện; tiêu biểu cho; tượng trưng cho,"Đứng ra thay mặt cho, tiêu biểu hoặc là biểu tượng của một cái gì đó."
art,nghệ thuật; hội họa,"Việc tạo ra các tác phẩm thể hiện ý tưởng hoặc cảm xúc một cách sáng tạo, thường bằng cách vẽ, điêu khắc, viết lách, hoặc âm nhạc."
subject,chủ đề; môn học; đối tượng,"Một người hoặc vật đang được thảo luận, mô tả hoặc nghiên cứu; một lĩnh vực kiến thức được học ở trường."
region,vùng; khu vực,"Một khu vực hoặc lãnh thổ lớn, thường được phân biệt bởi đặc điểm địa lý, khí hậu, văn hóa hoặc hành chính."
energy,năng lượng; nghị lực,"Khả năng hoạt động, làm việc; sức mạnh thể chất hoặc tinh thần."
hunt,săn; cuộc săn,"Tìm kiếm hoặc đuổi theo động vật để giết hoặc bắt giữ chúng; hành động này."
probable,có thể xảy ra; có khả năng,"Có khả năng lớn là sẽ xảy ra hoặc đúng."
bed,giường; cái giường,"Vật nội thất để ngủ hoặc nghỉ ngơi, thường có khung và nệm."
brother,anh trai; em trai,"Con trai của cùng bố mẹ với mình."
egg,trứng,"Vật hình bầu dục, thường có vỏ cứng, do chim hoặc bò sát đẻ ra, bên trong có phôi để phát triển thành con non, hoặc dùng làm thực phẩm."
ride,đi xe; cưỡi; chuyến đi,"Đi bằng xe đạp, xe máy, ngựa, v.v.; cũng là hành động hoặc khoảng cách đi bằng phương tiện."
cell,tế bào; buồng giam; pin; ô,"Đơn vị cấu trúc và chức năng cơ bản của mọi cơ thể sống; cũng là một căn phòng nhỏ ở nhà tù; một nguồn điện nhỏ; hoặc một ô trong bảng tính."
believe,tin; tin tưởng; cho rằng,"Chấp nhận rằng một điều gì đó là thật hoặc là đúng; có niềm tin vào ai đó hoặc điều gì đó."
fraction,phần nhỏ; phân số,"Một phần nhỏ của tổng thể; trong toán học là số chỉ một hoặc nhiều phần bằng nhau của đơn vị."
forest,rừng; rừng cây,"Một khu vực đất đai rộng lớn được bao phủ dày đặc bởi cây cối và thảm thực vật."
sit,ngồi,"Ở tư thế đặt phần dưới cơ thể trên một bề mặt, thường là với thẳng lưng."
race,cuộc đua; chạy đua; chủng tộc,"Một cuộc thi giữa người hoặc xe cộ để xem ai nhanh nhất; cũng có nghĩa là một nhóm người có chung nguồn gốc và các đặc điểm vật lý."
window,cửa sổ,"Một lỗ hổng có kính trong tường hoặc mái của một tòa nhà, cho phép ánh sáng đi vào và nhìn ra ngoài."
store,cửa hàng; kho; lưu trữ; tích trữ,"Một nơi mà hàng hóa được bày bán; một nơi lưu trữ hàng hóa; hành động giữ cái gì đó để sử dụng sau này."
summer,mùa hè,Khoảng thời gian ấm nhất trong năm, thường từ tháng 6 đến tháng 8 ở bán cầu Bắc và từ tháng 12 đến tháng 2 ở bán cầu Nam.
train,tàu hỏa; xe lửa; huấn luyện; đào tạo,"Một loại phương tiện giao thông chạy trên đường ray dùng để chở người hoặc hàng hóa; hoặc là hành động dạy ai đó một kỹ năng hay hành vi."
sleep,ngủ; giấc ngủ,"Trạng thái nghỉ ngơi tự nhiên của thân thể và tâm trí, khi mắt nhắm lại và ý thức giảm đi; cũng là hành động trải qua trạng thái này."
prove,chứng minh; chứng tỏ,"Cho thấy sự thật hoặc tính đúng đắn của điều gì đó bằng cách cung cấp bằng chứng."
lone,đơn độc; một mình,"Chỉ tình trạng ở hoặc làm gì một mình, không có người khác đi cùng hoặc giúp đỡ; hoặc chỉ một thứ/người duy nhất."
leg,chân,"Bộ phận cơ thể của con người và động vật dùng để đi, đứng."
exercise,tập thể dục; bài tập,"Hoạt động thể chất thường xuyên để giữ gìn sức khỏe và sự dẻo dai; cũng là một bài tập hoặc nhiệm vụ được giao để luyện tập hoặc kiểm tra kỹ năng."
wall,bức tường; tường,"Một cấu trúc thẳng đứng, thường làm bằng gạch, đá hoặc vật liệu khác, dùng để chia không gian, bảo vệ hoặc làm ranh giới."
catch,bắt; nắm bắt; kịp,"Nắm lấy hoặc giữ lại một vật đang di chuyển; hoặc hiểu được, kịp thời một sự kiện hay khái niệm."
mount,núi; leo lên; lắp đặt,"Một khối đất lớn nhô cao trên mặt đất; hành động trèo lên; hành động gắn hoặc đặt cái gì đó vào vị trí."
wish,ước; muốn; lời ước wishes,"Hy vọng hoặc mong muốn điều gì đó sẽ xảy ra; một lời cầu xin hoặc lời ước."
sky,bầu trời,"Khoảng không gian rộng lớn phía trên mặt đất, thường có màu xanh vào ban ngày và là nơi có mây, mặt trời, mặt trăng và các vì sao."
board,bảng; ban; hội đồng; lên (xe, tàu),"Một miếng vật liệu phẳng, cứng, dùng để viết lên, chơi trò chơi hoặc là một phần của cấu trúc; một nhóm người điều hành một tổ chức; hành động đi vào tàu, xe buýt, máy bay hoặc phương tiện khác."
joy,niềm vui; sự vui mừng,"Cảm giác hạnh phúc và mãn nguyện lớn lao."
winter,mùa đông,"Mùa lạnh nhất trong năm, thường bắt đầu vào tháng 12 ở Bắc bán cầu và tháng 6 ở Nam bán cầu."
sat,đã ngồi,"Thời quá khứ đơn của động từ 'sit', có nghĩa là ở trong tư thế ngồi."
written,viết; đã viết; dạng viết,"Được thể hiện bằng chữ viết; là phân từ quá khứ của 'write'."
wild,hoang dã; hoang dại; không được kiểm soát,"Không được thuần hóa hoặc trồng trọt (động vật, thực vật); sống trong môi trường tự nhiên; cũng có nghĩa là rất tức giận hoặc không thể kiểm soát được."
instrument,nhạc cụ; dụng cụ; công cụ,"Vật dùng để tạo ra âm nhạc; hoặc một vật dùng để thực hiện một công việc cụ thể, đặc biệt là công việc khoa học."
kept,đã giữ; đã giữ lại,"hình thức quá khứ và phân từ hai của 'keep'; có nghĩa là giữ lại, tiếp tục có, hoặc duy trì ở một trạng thái."
glass,cốc thủy tinh; ly thủy tinh; kính; gương,(cái) cốc hoặc ly làm bằng thủy tinh để uống nước; vật liệu trong suốt dễ vỡ; bề mặt bóng dùng để nhìn vào.
grass,cỏ,"Loại thực vật có lá mỏng, xanh mọc rộng trên mặt đất, thường được dùng làm thức ăn cho động vật hoặc tạo cảnh quan."
cow,con bò; bò cái,"Động vật có vú lớn được nuôi để lấy sữa và thịt."
job,công việc; nghề nghiệp; việc làm,"Việc mà một người làm thường xuyên để kiếm tiền; cũng có thể là một nhiệm vụ hoặc trách nhiệm cụ thể."
edge,mép; cạnh; rìa,"Đường hoặc bề mặt ngoài cùng của một vật; phần cuối của một cái gì đó."
sign,dấu hiệu; biển báo; ký kết; ký tên,"Một dấu hiệu trực quan hoặc hành động cho biết một điều gì đó; một vật hiển thị thông tin; hành động viết tên lên một tài liệu."
visit,thăm; đi thăm; chuyến thăm,"Đi đến một nơi hoặc gặp gỡ một người trong một thời gian ngắn; hành động đi như vậy."
past,quá khứ; qua khỏi; đi qua,"Thời gian đã trôi qua trước hiện tại; cũng chỉ việc di chuyển vượt qua một vật, một người."
soft,mềm; dịu dàng; nhẹ nhàng,"Không cứng và dễ bị biến dạng khi chạm vào; cũng chỉ tính cách hiền lành, dễ chịu hoặc âm thanh, ánh sáng không quá mạnh."
fun,vui; sự vui vẻ,"Chỉ cảm giác thích thú, khoái lạc hoặc sự vui vẻ; hoặc một cái gì đó mà bạn thấy thích làm."
bright,sáng; chói lọi; thông minh,"Có nhiều ánh sáng; rất rực rỡ; cũng có nghĩa là rất thông minh hoặc có triển vọng tốt."
gas,gas,"Trạng thái vật chất như không khí, không có hình dạng hoặc thể tích cố định; cũng là nhiên liệu dùng cho xe cộ."
weather,thời tiết,"Trạng thái của khí quyển tại một thời điểm và địa điểm cụ thể, bao gồm nhiệt độ, độ ẩm, lượng mưa, gió, v.v."
month,tháng,"Một trong mười hai thời kỳ tạo nên một năm."
million,triệu,"Một con số bằng một ngàn lần một ngàn (1.000.000)."
bear,gấu; chịu đựng; mang; sinh,"Là một loài động vật có vú lớn, lông dày, thường sống trong rừng; cũng có nghĩa là chịu đựng hoặc mang một cái gì đó; hoặc sinh con."
finish,kết thúc; xong; hoàn thành,"Kết thúc việc gì đó hoặc hoàn thành cái gì đó."
happy,vui vẻ; hạnh phúc; vui,"Có cảm giác vui sướng, hài lòng, hoặc thỏa mãn."
hope,hy vọng; niềm hy vọng,Cảm giác mong muốn một điều gì đó xảy ra và tin rằng nó có thể xảy ra; hoặc là điều được mong ước.
flower,hoa; bông hoa,"Bộ phận thường sặc sỡ, thơm của cây, phát triển từ nụ cây và tạo ra hạt hoặc quả."
clothe,mặc quần áo; che thân,"Mặc quần áo lên ai đó hoặc lên chính mình; cung cấp quần áo cho ai đó."
strange,lạ; kỳ cục; xa lạ,"Khác thường hoặc không quen thuộc; không dễ hiểu hoặc giải thích."
gone,đã đi; mất; hết,"Trạng thái của một người hoặc vật không còn ở vị trí hoặc trạng thái trước đó nữa; đã rời đi hoặc biến mất."
jump,nhảy; bước nhảy; pha nhảy,"Di chuyển bằng cách đẩy mạnh từ đất bằng chân để ở trên không trong giây lát; một hành động như vậy."
baby,em bé; trẻ sơ sinh; bé,"Một đứa trẻ rất nhỏ hoặc trẻ mới sinh."
eight,tám,"Số lượng hoặc số thứ tự liền sau số bảy."
village,làng; xóm,"Một nhóm người nhỏ sống thành cộng đồng ở vùng nông thôn, thường có nhà ở, cửa hàng và những tòa nhà khác."
meet,gặp; gặp gỡ; họp; làm quen,"Đến cùng một chỗ với người khác, tình cờ hoặc theo hẹn; cũng có nghĩa là lần đầu tiên gặp hoặc kết nối với nhau."
