english_word,native_translation,definition_ja
loud,うるさい; 大声の,"大きな音や声が出ている様子。または、色の派手さを表すこともある。"
spring,春; ばね; 泉,"一年で冬と夏の間の季節。または、押すと元の形に戻る金属などの部品。または、地面から水が湧き出る場所。"
observe,観察する; 守る,"注意深く見る; 法や規則に従う。"
child,子供,"若い人間、特に、まだ大人ではない男の子または女の子。"
straight,まっすぐ; 直線の,"曲がっていないこと。また、率直なことや正直なさま。"
consonant,子音,"母音を除く音声で、口の中で空気の流れが部分的にまたは全体的に遮られることによって生成される音。"
nation,国家; 国民,"人々が共有するアイデンティティ、文化、歴史、または領土を持つ集団または政治的組織体。"
dictionary,辞書,"単語とその定義、翻訳などをアルファベット順などに並べた書籍や電子情報。"
milk,牛乳,"哺乳類の乳から得られる、白く栄養価の高い液体。飲み物や食品に使われる。"
speed,速度; 速力; スピード,"速く動くこと、または動く速さ。時間あたりの距離で測定される。"
method,方法; やり方,何かを行うための特定の、または体系的な手順や計画。
organ,臓器,"生物の体内にあって、特定の働きをする組織のかたまり。"
pay,支払う,"労働やサービスの対価としてお金を渡すこと。"
age,年齢; 年,"人が生まれてからの年数。時代の期間も意味する。"
section,部分; 項; 課; 区分,"全体をいくつかの部分に分けた一つ。特に、文章や組織、地域などの切り分けられた部分。"
dress,ドレス; 服,"特に女性が着る、上衣とスカートがつながった一着の服。一般的にフォーマルな機会に着られるものを指すことが多い。"
cloud,雲,"水蒸気が凝結して空中に浮かぶ、小さな水滴や氷の粒の集まり。"
surprise,驚き; 驚かす,"予期しない出来事や物に対して感じる感情。または、誰かを驚かせる行為。"
quiet,静かな,"音があまりしない状態。"
stone,石,"岩や鉱物などが固まったもの。建材や彫刻などに使われる。"
tiny,ごく小さい; ちっぽけな,"非常に小さいこと。微細なさま。"
climb,登る; よじ登る,"手や足を使い、高い場所へ移動すること。"
cool,涼しい; かっこいい,"少し冷たい温度であること。素晴らしい、または流行っているという意味の俗語としても使われる。"
design,設計; デザイン,"ものを作るための計画や図案。見た目や機能性を考慮して形などを決めること。"
poor,貧しい; かわいそうな,"財産や金銭が少ない状態。または、同情や哀れみを誘う状態。"
lot,たくさん; 大量,"多くの量や数を表現する際に使われる。"
experiment,実験; 試み,新しい知識を得るため、または理論を検証・証明するために行う科学的な手順または試み。
bottom,底; 下部,"物や場所の一番下の部分。また、何かが非常に低い状態や位置を指す。"
key,鍵; 重要な; 解決策,"ドアなどを開けるための道具。問題などを理解したり解決したりするための重要な要素。"
iron,鉄; アイロン,"金属元素で、硬く丈夫。衣服のしわを伸ばす道具も指す。"
single,独身の; 単一の,"一つだけの、または結婚していない状態を表す。"
stick,棒; 枝; くっつく,"細長い木の棒やくず。または、何かにしっかりと固定されること。"
flat,平らな; アパート,"表面に凸凹がないさま。または、集合住宅の一室。"
twenty,20; 二十,"数値の20。10の2倍の数。"
skin,皮膚; 肌,"人間や動物の体表面を覆っている組織。"
smile,笑顔; 微笑み,"喜びや親愛の感情を表すため、口元を広げて見せる表情。また、人を喜ばせたり優しさを伝えたりする行為。"
crease,折り目; しわ,"布や紙などにできる、折ったり圧縮したりした際にできる線や跡。"
hole,穴,"地面や物にある開いた隙間や空間。"
trade,貿易; 取引; 商売,"物やサービスをお金と交換すること。または、異なる国間で商品やサービスを交換すること。"
melody,メロディー,"音楽で、高さとリズムを持つ一連の音の連なり。"
trip,旅行; 短い旅,"どこかへ行く、特に楽しみのために短い期間別の場所へ行くこと。"
office,オフィス; 事務所,"仕事をするための部屋や建物。会社の業務が行われる場所。"
receive,受け取る; 受け取る,"何かを与えられたり送られたりして、自分のものにする。情報などを得ることも意味する。"
row,漕ぐ; 列,"ボートなどを水面で進めるためにオールを使う動作。また、一直線に並んだ人や物。"
mouth,口,"人や動物の顔にあり、食べ物を取り込んだり、話したり声を出すために使う器官。"
exact,正確な; 的確な,"間違いがなく、すべてが事実や基準に完全に一致していること。"
symbol,記号; 象徴,"何かを代表したり、特別な意味を持つ印や図形。"
die,死ぬ,生命活動が停止して、生きている状態が終わること。
least,最小; 最も少ない,"程度や大きさが最も低いか少ないことを示す。"
trouble,困難; 問題; 迷惑,"苦労、困難、または心配事。人や物に迷惑をかけることや、そうした状態。"
shout,叫ぶ; 大声,"大きな声で何かを言う。特に、感情や注意を引くために。"
except,〜を除いて; 以外は,"特定の物や人が他のものとは違う、または含まれていないことを示す。例外を表す。"
wrote,書いた,"write（書く）の過去形。言葉や文字を書き記した。"
seed,種,"植物が成長するための胚と、それを覆う皮を持つもの。"
tone,音色; 調子,"音の高さ、質、または声や音楽の独特な響き。話し方から伝わる感情や態度。"
join,参加する; 加わる,"集まりや組織の一員になること。または、人々と一緒に何かをすること。"
suggest,提案する; 示唆する,"計画やアイデアを提示する、または婉曲的に何かを示したりほのめかしたりする。"
clean,きれいな; 掃除する,"汚れていない、または汚れを取り除くこと。形容詞としても動詞としても使われる。"
break,壊す; 破る; 休憩,"物理的に物を壊したり、規則や慣習を破ったりすること。また、仕事や活動を一時的に中断して休むこと。"
lady,女性; 淑女,"礼儀正しく洗練された女性のこと。特に上流階級の女性や、丁寧な呼び方として使われる。"
yard,庭; ヤード,"家や建物の周りの地面の部分。長さの単位（約0.914メートル）。"
rise,上がる; 昇る; 増える,"高くなる、上へ動く、または数量などが増加すること。"
bad,悪い; 下手な,"品質や状態がよくない。行動が間違っている。技術や能力が劣っている。"
blow,吹く; 強打する,"風、息などを送り出して動かすこと。または、何かを強く打つこと。"
oil,油; 石油; オイル,"液体で、水と混ざらず、燃料や潤滑、料理などに使われるもの。"
blood,血,"生物の血管内を循環する液体。酸素や栄養を運び、老廃物を排出する働きがある。"
touch,触れる; 感触,"指などで物に軽く当てる。「感触」や「触覚」という意味もある。"
grew,育った; 成長した,"growの過去形。育つ、成長する、大きくなるという意味。"
cent,セント,"アメリカやカナダなどの硬貨で、100分の1ドルに相当する。"
mix,混ぜる; 混合する,"2つ以上のものを一緒にして、一つにすること。"
team,チーム,共通の目標のために協力する人々の集団。
wire,針金; ワイヤー,"金属でできた細く長い線。電気を通したり、形を作ったりするのに使われる。"
cost,費用; コスト,"何かを得るために支払う金額や必要な努力。"
lost,失われた; 道に迷った,"見つけられない状態にある、または道を間違えて目的地にたどり着けない状態を指す。"
brown,茶色; 褐色,"栗や土のような色。赤と黄の中間の色。"
wear,着る; 身に着ける,"衣服、アクセサリーなどを体に付けること、または時間が経つにつれて劣化することを意味する。"
garden,庭,"花、木、野菜などが植えられている土地の区域。"
equal,等しい; 平等,"大きさが同じであること。価値や権利が同じであること。公平であること。"
sent,送られた; 送った,"sendの過去形および過去分詞。何かを他の人や場所へ送る、または届けることを意味する。"
choose,選ぶ; 選択する,"いくつかの選択肢の中から一つまたは複数決定して受け入れる行動。"
fell,倒れた; 切り倒した,"fall（倒れる）の過去形。また、木などを切り倒すこと。"
fit,合う; 適する,"サイズ、形、または目的にぴったりであること。健康的であること。"
flow,流れる,"水などが途切れずに移動する様子、または物事が淀みなく進行する様子。"
fair,公平な; 公正な; かなり良い; 見本市,"人に対して偏りなく接したり、状況が妥当であること。また、質が良いとは言えないが許容範囲のこと。人が集まり、商品などが展示・販売されるイベント。"
bank,銀行; 土手,"お金を預けたり融資したりする機関。または、川や湖の縁の土や土地のこと。"
collect,集める; 収集する,"物や情報を一つにまとめること、あるいは同じ種類のものを集めること。"
save,救う; 助ける; 節約する,"危険や困難から人や物を守ること。または、資源やお金などを無駄遣いせずにとっておくこと。"
control,コントロール; 制御; 支配,「何かをうまく管理したり、力を及ぼしたりすること。感情や行動を抑えること。」
decimal,小数,"整数の一部を表すために、小数点を使用して表現される数。"
gentle,優しい; 温和な,"穏やかで、親切な性質や態度を持つこと。力を入れずに扱うことも含む。"
woman,女性; 女の人,"成人の女性の人。"
captain,船長; 機長; キャプテン,"船や飛行機など、様々なチームや組織のリーダー。"
practice,練習; 実行,"何かを繰り返し行って習得すること。または、実際に何かを行うことや習慣。"
separate,分ける; 別々の,"一つ以上のものや人を分割したり、区別したりすること。異なる、独立した状態。",形容詞としては、「離れた」、「別の」という意味。
difficult,難しい; 困難な,"理解したり、したりするのが容易ではないこと。問題を抱えていたり、骨が折れる様子。"
doctor,医師; 医者,"病気や怪我を治療する専門家。"
please,お願いします; どうぞ,"丁寧な依頼や要求をする時に使う言葉。"
protect,保護する; 守る,"危険や損害から人や物を安全に保つこと。"
noon,正午,"午前12時、または昼の真ん中の時間。"
whose,誰の,"誰のものか、または誰に関連しているかを示す所有格の関係代名詞。"
locate,見つける; 位置する,"何かや誰かを見つけ出すこと、または特定の場所に存在することを意味する。"
ring,指輪; 輪; 鳴る,"指にはめる装飾品。円形の物体。電話やベルが音を出すこと。"
character,性格; 人物; 文字,"人や物の特徴や性質。物語中の登場人物や、書くための記号も指す。"
insect,昆虫; 虫,"昆虫綱に属する、体が頭部、胸部、腹部の三つの部分に分かれており、通常は六本の脚を持つ小動物。"
caught,捕らえられた; 捕まった,"catch（捕まえる）の過去形および過去分詞形。（何かを）捕まえられた、または罠にかかった状態。"
period,期間; 時代; 句点,"ある事象、活動、または状態が継続する一定の時間。また終了を示す句読点（.）。"
indicate,示す; 指す,"何かのサインであること、あるいは何かを伝えることを示す。"
radio,ラジオ,"音声放送を送信、または受信する装置。また、その放送自体。"
spoke,話した; スポーク,"話す動詞の過去形。自転車や車輪の車軸とリムをつなぐ棒。"
atom,原子,"物質を構成する最小の単位の一つ。"
human,人間; 人類の,"ヒト科の霊長類。知性があり、言葉を使い、社会的な生活を送る。"
history,歴史,"過去に起きた出来事や、それらを研究する学問のこと。"
effect,効果; 影響; 結果,"ある出来事によって引き起こされる結果や変化。何かを行うことによって生じる作用。"
electric,電気の,"電気に関する、または電気によって動く状態"
expect,期待する; 予期する,"何かが起こるだろう、または誰かが何かをするだろうと予測する。"
crop,作物; 収穫高,"田畑で栽培される植物、またはそこから収穫されたもの。"
modern,現代の; 近代の,"現在または比較的最近の時代やスタイルに属していること。"
element,要素; 元素,"物の基本的な構成部分、または集まりを構成する重要な部分。化学では、これ以上単純な物質に分解できない基本的な物質。"
hit,打つ; 叩く,"何かを強くぶつける行為。成功することや、目標に到達することも意味する。"
student,学生; 生徒,"学校や大学で学んでいる人。"
corner,角; 隅,"建物や物体の二面が交わる場所。または、道路が曲がるところ。"
party,パーティー; 党,"人々が集まって楽しむ会。または、特定の信念を持つ政治団体。"
supply,供給; 支給; 在庫,"必要なものを与えること、または手に入れることができる物の量。"
bone,骨,"人や動物の体の硬い部分で、骨格を形成するもの。"
rail,鉄道; 手すり; 柵,"列車が走るための線路。また、人がつかまったり、物が落ちないようにしたりするための棒や柵。"
imagine,想像する; 思い描く,"心の中で何かを考える、または絵やイメージを作り出すこと。"
provide,提供する; 供給する,"必要なものや要求されたものを与える、または供給する。"
agree,同意する; 賛成する,"意見や立場に賛成すること。または、合意に達すること。"
thus,このように; それゆえに,"前の文で述べられた結果として起こること、またはそのように行われる方法を示す。"
capital,首都; 大文字; 資本,"国の政治や行政の中心地。文の最初や固有名詞に使う大きな文字。事業を始めるためのお金や資産。"
won't,しないでしょう; 〜しないだろう,"未来に対する拒否や意志の否定を表す動詞will notの短縮形。"
chair,椅子,"座るために使われる家具。通常、背もたれと4本の脚がある。"
danger,危険,"人や物が傷ついたり破壊されたりする可能性のある状況。"
fruit,果物,"植物がつける、食用になる甘い実。"
rich,裕福な; 豊かな,"財産や資源を多く持っている状態。食べ物などが栄養豊富または味が濃いことも指す。"
thick,厚い; 太い,"物体が分厚いことや、液体がドロっとしていること。または、密集している様子。"
soldier,兵士,"軍隊の一員として戦う人。"
process,工程; 過程; 処理する,"特定の目的を達成するために行われる一連の活動や段階。情報などを処理することも意味する。"
operate,操作する; 運転する; 手術する,"機械やシステムなどが正しく機能するように動かすこと。また、ビジネスや組織を管理・運営すること。医療においては手術を行うことを指す。"
guess,推測; 当てる,"正確な知識を持たずに何かを判断したり述べたりすること。正解を予測すること。"
necessary,必要な,"なくてはならない、または避けられないもの。"
sharp,鋭い; 切れ味の良い,"切れる、または尖っている様。はっきりしていることや、頭の回転が速いことも指す。"
wing,翼,"鳥や飛行機などが飛ぶための器官や部分。"
create,創造する; 作る; 生み出す,"何か新しいものを存在させること。芸術作品やアイデアなどを考え出し、形にすること。"
neighbor,近所の人; 隣人,"同じ場所や近くに住んでいる人。"
wash,洗う,"水で汚れや不純物を取り除く。"
bat,バット; コウモリ,"野球でボールを打つのに使う道具。また、夜空を飛ぶ哺乳動物。"
rather,むしろ; いくらか; かなり,"あるものより別のものを好む気持ちや、程度がやや多いことを示す。"
crowd,群衆; 人混み,"多くの人が集まっている状態や場所。"
corn,とうもろこし,"イネ科の植物で、黄色い実を食用にするもの。またはその食用部分。"
compare,比較する,何かと何かを比べて、似ている点や異なっている点を見つけること。
poem,詩,"詩的な形式や構成に従って書かれた文学作品。"
string,文字列; 紐,"複数の文字が並んだもの（コンピュータ用語）。細長く柔らかいものを指す。"
bell,鐘; 鈴; ベル,"金属などでできた椀状の器具で、叩いたり振ったりして音を出す。時間を知らせたり、注意を引いたりするのに使う。"
depend,頼る; 次第である,"何かや誰かに支援や助けを求めること。結果や状況が別の要素によって決まることを示す場合にも使う。"
meat,肉,"人間が食物として食べる動物の体の一部。"
rub,こする; 摩擦する,"表面に圧力をかけながら何か動かすこと。また、そのような動き。"
tube,チューブ; 管,"中が空洞で、円筒形の長いもの。液体、気体、固形物などを運んだり、物を包んだりするのに使われる。"
famous,有名な,"多くの人に知られている、または広く認められている状態。"
dollar,ドル,"アメリカ合衆国や他の国で使われる通貨の単位。"
stream,小川; 流れ; 配信,"水の流れや細い川のこと。また、デジタルデータの連続的な流れ（動画・音声など）を指す。"
fear,恐れ; 恐怖,"危険や痛みを感じたときに生じる、不快な感情。"
sight,視力; 光景,"見る能力、または目で見えるもの。美しいものや珍しいものなど、見た光景も指す。"
thin,薄い; 細い,"厚みが少ないこと。または、標準より細いこと。"
triangle,三角形,"三つの直線で囲まれた平面図形。"
planet,惑星,"太陽や恒星の周りを公転する大きな天体。"
hurry,急ぐ,急いで物事を行うこと。または、速く移動すること。
chief,長; 主な,"集団や組織のリーダー。または、最も重要な部分や地位。"
colony,植民地; 群体,"外国、特に母国によって支配されている地域。また、同じ種の生物の集まり。"
clock,時計,"壁や机などに置いて時間を計る装置。"
mine,私のもの,"自分のものであることを示す代名詞。所有を表す。"
tie,結ぶ; ネクタイ,"物を締めたり固定したりするためにひもなどを使う行為。または、男性などが首に巻く飾りの布。"
enter,入る; 記入する,"場所や状況の中に入る、または情報などを書き込む、または登録すること。"
major,主要な; 大きな; 専攻,"他のものより重要または大きいこと。大学などで専門的に学ぶ分野。"
fresh,新鮮な; 新しい,"作られたばかりで、傷んでいない状態。また、以前とは異なる、新しいさま。"
search,探す; 検索する,"見つけるために、あるいは情報を得るために調べること。"
send,送る; 発送する,"何かをある場所から別の場所に送る。"
yellow,黄色; 黄色い,"色の名前。レモンのような色。"
gun,銃,"弾丸を発射するための武器。"
allow,許す; 認める,"許可や承認を与えること。可能にすること。"
print,印刷する; プリントする,"文字、絵、写真などを紙などに機械的に複製すること。また、その複製されたもの。"
dead,死んだ; 死んでいる,"生命活動が停止している状態。非活動的な、または機能していないことも意味する。"
spot,場所; 地点; 見つける,"特定の場所。または、何かを見つけ出すこと。"
desert,砂漠,"木があまり生えず、雨がほとんど降らない、乾燥した広い土地。"
suit,スーツ; 訴える; 適する,"男性または女性が着る上下揃いの服。また、法廷での訴え、またはある目的や状況に適していることを意味する。"
current,現在の; 今の; 流行; 流れ,"今起こっていること、または今一般的に使われていること。水や空気などが流れること。"
lift,持ち上げる; 上がる,"下から上へと物理的に動かすこと。また、段差を乗り越えるための昇降機（エレベーターなど）のこと。"
rose,バラ; 薔薇,"バラ科の低木。またはその花。"<<cl2>>
continue,続く; contine,"中断された活動や状態を再び始める、または続けること。"
block,ブロック; 塊; 妨げる,"四角い固まり。また、進行や流れを止める行為。"
chart,図; 表; 海図,"データや情報を視覚的に表現したもの。航海のための地図を指すこともある。"
hat,帽子,"頭にかぶる、柔らかい布やその他の素材で作られた覆い。"
sell,売る,"商品やサービスと引き換えにお金を受け取ること。または、自分の所有物を手放してお金を得ること。"
success,成功,"目標を達成することや望ましい結果を得ること。"
company,会社; 仲間,"共通の目的を持つ人々のグループ。特に事業を行う営利団体。また、一緒にいる人や集まりのこと。"
subtract,引く,数値を別の数値から取り除くこと。
event,イベント; 出来事,"特定の時間や場所で起こる、計画された、または重要な出来事。"
particular,特定の; 詳細な,特定の1つのものや、通常とは異なり特別なものを指す。また、細かい点や詳細にこだわることも意味する。
deal,取引; 契約; 量,"ビジネスや交渉における合意。問題に対処すること。または、ある程度の量。"
swim,泳ぐ,水中を移動すること。
term,期間; 用語,"特定の期間や期限。また、専門的な言葉や表現。"
opposite,反対の; 正反対の,"性質や位置が完全に異なること。全く逆である状態。"
wife,妻; 配偶者,"結婚した女性。"
shoe,靴,"足を保護し、歩くためにつま先からかかとまで覆う履物。"
shoulder,肩,"腕のつけ根の部分。"
spread,広がる; 広げる; 広める,"表面に広がる、または何かを広く行き渡らせる。情報などを広く知れ渡らせることも意味する。"
arrange,手配する; 配置する,"物事の順序や配置を決めることや、計画を立てて準備すること。"
camp,キャンプ,"屋外でテントなどに泊まること。また、その場所や活動。"
invent,発明する; 考案する,"新しい物や技術を考え出して作り出すこと。"
cotton,綿,"ワタ科の植物から取れる繊維で、糸や布の原料になるもの。"
born,生まれる,"誕生した、生まれた状態。"
determine,決定する; 決心する; 特定する,"物事の結論を出すこと。事実や正確な情報を明らかにする。"
quart,クォート; 946cc,"ヤード・ポンド法における体積の単位。約0.946リットル。"
nine,九; 9,"数え方。8の次の整数。"
truck,トラック,貨物や荷物を運ぶための大型の自動車。
noise,ノイズ; 騒音,"不快で耳障りな音。または、通信や信号における不要な妨害。"
level,レベル; 水平; 段階,"高さ、品質、重要度などの程度。また、物が水平である状態。"
chance,チャンス; 機会,"何かが起こる可能性。また、何かをするための好都合な状況や時。"
gather,集まる; 集める,"人や物が一緒に来る、または人や物を一つにまとめること。"
shop,店; 売店,"物を売ったりサービスを提供したりする場所。"
stretch,伸ばす; 広げる; 伸びる; 伸縮させる,"体の一部、物、または生地などを引き延ばして長くしたり広くしたりする。またはそれらが伸びる。"
throw,投げる; 放る,"手や機械を使って、物を空中を通り遠くへ移動させる行為。"
shine,輝く; 光る,"光を発する、または明るく照り返す。"
property,財産; 特性,"物や人が所有しているもの、または固有の性質や特徴。"
column,列; 柱; 段,"縦に並んだ人や物の列。表やスプレッドシートの縦の区画。建築物の柱。"
molecule,分子,"化学結合によって結びついた2つ以上の原子の集合体。"
select,選ぶ; 選択する,"複数の選択肢の中から一つまたは複数を選ぶこと。"
wrong,間違った; 悪い; 間違い,正しくない、または道徳的に受け入れられないこと。誤り。
gray,灰色; 灰色の,"白と黒の中間の色。"
repeat,繰り返す; 再度行う,"同じことや行動をもう一度行う。"
require,必要とする; 要求する,"何かが不可欠である、または何かを求めるという意味。ルールや法律によって義務付けられることも含む。"
broad,広い; 幅広い,"面積が大きいことや、範囲が広いことを表す。考え方や知識などが広い場合にも使う。"
prepare,準備する; 用意する,"何かをするために必要なものを揃えたり整えたりすること。"
salt,塩,"ナトリウムと塩素からなる鉱物で、通常は白い結晶の形で存在し、食品の味付けに使われる。"
nose,鼻,"顔の中心部にある呼吸と嗅覚のための器官。"
plural,複数形,二つ以上のものであることを示す文法上の形。名詞や動詞などに使われる。
anger,怒り; 腹立ち,"不満、悲しさ、または害されたと感じるときに生じる強い感情。"
claim,主張する; 要求する,"権利があると公然と言う、または何かが真実であると断言すること。また、正式に何かの所有を求めること。"
continent,大陸,"広大で連続した陸地の塊。地球上にはいくつか主要な大陸がある。"
oxygen,酸素,"生命維持に必要な気体の一種で、呼吸に使われる。"
sugar,砂糖; 糖分,"甘みのある白い結晶状の物質で、食べ物や飲み物に甘みを加えるために使われる。"
death,死,"生物が生命活動を終えること。または、何かが存在しなくなること。"
pretty,かわいい; かなり,"見た目が魅力的であること。また、程度が「かなり」「ずいぶん」であることを示す副詞としても使われる。"
skill,スキル; 技能,"何かをうまく行うための能力や習熟度。"
women,女性たち; 婦人たち,"大人の女性の複数形。"
season,季節,"1年を分ける、気候などが異なる時期（春、夏、秋、冬）。"
solution,解決策; 解答,"問題や困難を解決する方法や手段。特に、数学やパズルなどの答え。"
magnet,磁石,"鉄などの磁性体を惹きつける力を持つ物体。またはそのような力そのもの。"
silver,銀; シルバー,"元素周期表のAgで表される、光沢のある貴金属。食器や宝飾品に使われることが多い。"
thank,感謝する; 礼を言う,"感謝の気持ちを表すために使う動詞。"
branch,枝; 支店,"木の幹から分かれた部分。または、会社や組織の主要な場所から分かれた部署や店舗。"
match,合う; 一致する; 試合; マッチ,"形や特性が合っていること。また、勝ち負けを争う競技。"
suffix,接尾辞,単語の終わりに追加され、その意味や機能を変更する接辞。
especially,特に,"他のものよりも際立って、または特別な理由があって。副詞。"
fig,いちじく,"クワ科の落葉性高木で、甘くて柔らかい果実をつけるもの、またはその果実。"
afraid,恐れて; 心配して,"何かをすることや起こることを怖がること。ある物事について心配したり、ためらったりする感情。"
huge,巨大な; 大きな,"標準よりはるかに大きいこと。"
sister,姉; 妹,"同じ親から生まれた女性の兄弟。"
steel,鋼; はがね,"鉄に炭素を加えて作った丈夫な金属。建物、道具、機械などに広く使われる。"
discuss,議論する; 話し合う,"特定のトピックについて、考えや意見を交換すること。"
forward,進む; 前方へ,"前へ進むこと、または前向きな方向や状態にあることを示す。将来へ向かう意味でも使う。"
similar,似ている; 同様の,"同じような性質、特徴、または側面を持っていること。全く同じではないが、近いこと。"
guide,案内人; ガイド; 手引き,"人々を目的地へ導く人、または情報を提供する本や説明書。"
experience,経験; 体験,"何かを見たり、感じたり、行ったりすることで得られる知識や技能のこと。"
score,得点; スコア,"試合や試験などで獲得した点数。"
apple,りんご,"木になる丸くて甘い果物。赤や緑のものが多い。"
bought,買った,"buy（買う）の過去形および過去分詞形。購入したことを示す。"
led,導かれた; 先導した,"lead（導く、先導する）の過去形および過去分詞形。誰かや何かをある方向へ行かせたこと、または指揮したことを示す。"
pitch,投げる; ピッチ,"ボールなどを投げたり、企画などを売り込んだりすること。"
coat,コート; 上着,"寒さから身を守るためやファッションとして服の上に羽織るもの。"
mass,質量; 大量; 塊,"物理学的な重量や慣性の度合い。非常に多い数量。不定形の集まったものの塊。"
card,カード,"厚紙などで作られた、名刺やトランプ、クレジットカードなどの小さな四角いもの。"
band,バンド,"音楽を演奏する人々のグループ。"
rope,ロープ; 縄,"複数のより糸を撚り合わせて作られた、強い線状の vật。"
slip,滑る; 滑り落ちる; うっかりする,誤って滑ったり、落ちたりする動作。または、意図せず何かを間違えたり忘れたりすること。
win,勝つ; 勝利,"競争や戦い、ゲームなどで他者を上回ること。勝利を得ること。"
dream,夢,"眠っているときに見る心像。将来叶えたいと思っていることや希望。"
evening,夕方; 晩,"日没から夜が始まるまでの時間帯。一日の終わり頃。"
condition,状態; 条件,"人や物のありさまや状況。また、何かを行うために満たされるべき事柄。"
feed,与える; 食べさせる,"人や動物に食べ物を与えること。供給すること。"
tool,道具; 工具; ツール,"何かをするために使われる物理的なものや、目標を達成するための手段。"
total,合計; 全体,"全部を合わせた数や量。"
basic,基本的な,"物事の最もシンプルで重要な要素や原理に関すること。または、初歩的であること。"
smell,匂い; 嗅ぐ,"鼻で感じられる感覚。またはその感覚を感じる行為。"
valley,谷,"山々に挟まれた、細長くくぼんだ地形。"
nor,〜もまた...ない,"否定的な状況や出来事について、別の否定的な状況や出来事を続けるために使う接続詞。"
double,二倍; 倍; 二重の,"量、大きさ、または数が通常の二倍であること。または二つの要素を持つこと。"
seat,席; 座席,"座るための場所。乗り物や会場などにある椅子。"
arrive,到着する; 着く,"目的地などに到達すること。時間や場所に遅れずに行くことも含む。"
master,主人; 修士; 達人,"人や物を支配する人。特に専門的な技能や知識において非常に優れている人。大学院の修士号。"
track,追跡する; 線路; 走路,"物や人を追いかけること。また、列車が走るための鉄の道や、競技などで走るための道。"
parent,親,"父または母、あるいは養親など、子供を育てた人。"
shore,海岸; 岸,"海や湖、川などの水辺の土地。"
division,区分; 分割; 部門,"全体をいくつかの部分に分けること。または、分けられたそれぞれの部分。会社などの組織内の部署も指す。"
sheet,シート,"薄くて平たいもの。紙や布など。"
substance,物質; 実体; 内容,"具体的な形を持つ物。物体そのものや、ものの本質・重要な部分を指す。"
favor,好意; 親切; 支持,"人に対して親切な行いや贈り物。支持や賛成の気持ち。"
connect,つなぐ; 接続する,"人、もの、または考えなどを一緒にする、または関係づけること。"
post,投稿; 郵便; 柱,"SNSやウェブサイトに情報を載せること。手紙や荷物を送ること。地面に立てられた棒。"
spend,使う; 費やす; 過ごす,"お金、時間、またはエネルギーを何かに費やす、またはある期間を過ごすこと。"
chord,和音; 弦,"同時に鳴らされる3つ以上の音、または楽器の弦のこと。"
fat,太った; 脂肪,"体についた肉や油のこと。また、体が太っている状態。"
glad,嬉しい; 光栄に思って,"喜び、満足、または感謝の気持ちを表す。"
original,元の; 独創的な,"最初のものであること、または従来の模倣ではなく新しいアイデアや方法で作られたものであること。"
share,共有する,お互いに何かを持ち合ったり、使ったり、知らせたりすること。「分け合う」とも言う。
station,駅,"鉄道やバスなどが停車し、乗客が乗り降りする場所。"
dad,お父さん; パパ,"父親を指す、親しい呼び方。"
bread,パン,"小麦粉などを練って焼いて作った食べ物。"
charge,代金; 料金; 請求する; 充電する; 責任,"商品やサービスに対する料金。電力を蓄えること。責任を負うこと。攻撃を開始すること。"
proper,適切な; 正しい; 礼儀正しい,"規則や基準に合っているさま。社会的に受け入れられる行動や態度をとること。"
bar,バー; 棒,"飲み物を飲むためのカウンターや店。細長いかたい物。"
offer,提供する; 申し出る; オファー,"何かをあげる、または利用できるようにすること。また、提案や申し出をすること。"
segment,区分; 部分; 区間,"全体をいくつかの部分に分けたもののこと。特に、特定のグループやデータの一部を指す。"
slave,奴隷,"他人に所有され、その所有者のために強制的に働く人。"
duck,アヒル,カモ科の水鳥。また、体をすばやく曲げる動作。
instant,瞬間; 即座の; 即席の,"非常に短い時間、または待たずにすぐに行われることや食べられるものを指す。"
market,市場,"物を売買する場所や、特定の製品やサービスの需要がある分野。"
degree,程度; 度; 学位,"物事の高さ、強さ、または段階。また、大学などで取得する資格。"
populate,居住させる; 生息する; 入力する,"〜に住む人や動物を配置する、または特定の場所に住むこと。コンピューターシステムなどにデータを入力することも意味する。"
chick,ひよこ; 若い女性,"生まれたばかりの鶏。俗語で若い女性を指すこともある。"
dear,親愛なる; 大好きな; 大切な,"愛情や親しみを感じる人や物（手紙の冒頭などで使われる）に対して用いる語。"
enemy,敵; 敵対者,"戦争や争いなどで反対側の人や集団。敵対する相手。"
reply,返事; 返答,"質問やメッセージなどに対する応答。"
drink,飲む; 飲み物,"液体を摂取する行為。また、飲むための液体そのもの。"
occur,起こる; 発生する,"予測されていない、または計画されていない出来事や状況が起きること。"
support,支援; 支持; 支える,"誰かや何かを手助けすること、または意見や考えを肯定すること。"
speech,スピーチ; 演説; 話すこと,"特定の機会に行われる公開の話し合い。話す行為そのものも指す。"
nature,自然,"存在するすべての物体、特に大地、海、大気、動植物、およびそれらに影響を与えるすべての物理現象。"
range,範囲; 幅,"ある特定の限度内、または二つの極端な点の間の領域。"
steam,蒸気,"水が熱せられて気体になったもの。"
motion,動き; 運動,"位置を変えること、または動いている状態。"
path,道; 小道; 進路,"人や物が通るために作られた細いか狭い場所。比喩的に、進むべき方向や方法。"
liquid,液体,"形がなく、流れる性質を持つ物質。"
log,丸太; 記録,"切り倒された木の幹。また、出来事やデータなどを時系列で記録したもの。"
